number,cid,name,smiles,pIC50(pred),similarity_max
kampo_0400,71448959,"2-[(1R,5R)-5-[2,4-Dihydroxy-3-(3-methylbut-2-enyl)benzoyl]-5-(2,4-dihydroxyphenyl)-3-methylcyclohex-2-en-1-yl]-1,3,5a,8-tetrahydroxy-10a-(3-methylbut-2-enyl)-[1]benzofuro[3,2-b]chromen-11-one",CC1=CC(CC(C1)(C2=C(C=C(C=C2)O)O)C(=O)C3=C(C(=C(C=C3)O)CC=C(C)C)O)C4=C(C5=C(C=C4O)OC6(C7=C(C=C(C=C7)O)OC6(C5=O)CC=C(C)C)O)O,6.497610503,0.261261261
kampo_1015,101676953,CID 101676953,C1C(C(OC2=C1C(=C(C(=C2)O)C3C4C5C6C(COC(=O)C7=CC(=C(C(=C7C8=C(C(=C(C=C8C(=O)O6)O)O)O)O)O)O)OC(=O)C9=CC(=C(C(=C9C1=C(C(=C(C(=C1O)O)O)C1=C(C3=C(C(=C1O)O)O)C(=O)O4)C(=O)O5)O)O)O)O)C1=CC(=C(C=C1)O)O)O,6.307521022,0.386666667
kampo_2591,73111,Sennoside A,C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C6=C(C(=CC=C6)OC7C(C(C(C(O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,6.164948258,0.25
kampo_1963,5318993,Licoagrone,CC(=CCC1=CC2=C(C=C1O)OC(C2=O)(C3=CC(=C(C=C3C=C4C(=O)C5=C(O4)C(=C(C=C5)O)CC=C(C)C)O)O)C(=O)C6=CC(=C(C=C6)O)CC=C(C)C)C,6.098666714,0.284210526
kampo_0547,6440013,4-Coumaroyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=C(C=C4)O)O,6.04447148,0.173913043
kampo_2332,5320384,Palmidin A,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C5=C(C(=CC=C5)O)C(=O)C6=C4C=C(C=C6O)CO)C=C(C=C3O)O,5.990983169,0.222222222
kampo_1179,73644,Casuarictin,C1C2C(C3C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5C6=C(C(=C(C=C6C(=O)O3)O)O)O)O)O)O)OC(=O)C7=CC(=C(C(=C7C8=C(C(=C(C=C8C(=O)O1)O)O)O)O)O)O,5.983734983,0.193181818
kampo_0759,467312,"8-((5,7-Dihydroxy-2-(3,4,5-trihydroxyphenyl)-3-(3,4,5-trihydroxyphenylcarbonyloxy)chroman-8-yl)methyl)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl 3,4,5-trihydroxybenzoate",C1C(C(OC2=C1C(=CC(=C2CC3=C(C=C(C4=C3OC(C(C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)C6=CC(=C(C(=C6)O)O)O)O)O)O)O)C7=CC(=C(C(=C7)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,5.93010938,0.25
kampo_1123,6119622,Caffeoyl-coenzyme A,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC(=C(C=C4)O)O)O,5.928805947,0.173913043
kampo_2437,3086518,"Procyanidin B-5 3,3'-di-O-gallate",C1C(C(OC2=C1C(=C(C(=C2)O)C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O)O)C7=CC(=C(C=C7)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,5.925542593,0.424242424
kampo_2732,442543,Theasinensin A,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3C4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,5.894600722,0.372881356
kampo_1190,72284,Chebulinic acid,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C3C(C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C6=C5C(C(C(=O)O3)CC(=O)O)C(C(=O)O6)O)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O,5.84706546,0.160377358
kampo_2035,14430290,Lyciumin A,CC(C)C1C(=O)NCC(=O)NC(C(=O)NC(CC2=CN(C(C(=O)N1)NC(=O)C(CC3=CC=C(C=C3)O)NC(=O)C4CCCN4C(=O)C5CCC(=O)N5)C6=CC=CC=C26)C(=O)O)CO,5.832529179,0.195804196
kampo_2715,11968391,Tenuifoliside C,COC1=CC(=CC(=C1O)OC)C=CC(=O)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)OC(=O)C=CC4=CC(=C(C(=C4)OC)OC)OC)CO)O)O)O,5.829824969,0.204301075
kampo_1077,134737870,CID 134737870,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C2C=C3C(CC(CC3(O2)C)O)(C)C)C)C,5.829091089,0.142857143
kampo_2929,471122,"beta-D-Glucopyranose, cyclic 4-7:6-5-((2S,6S)-3,6-dihydro-2,9,10,11,11-pentahydroxy-3-oxo-2,6-methano-2H-1-benzoxocin-5,7-dicarboxylate) 1,2,3-tris(3,4,5-trihydroxybenzoate)",C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C7=C6C8C(=CC(=O)C(C8(O)O)(O7)O)C(=O)O1)O)O,5.810354745,0.221153846
kampo_1189,442674,Chebulagic acid,C1C2C3C(C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C6=C5C(C(C(=O)O3)CC(=O)O)C(C(=O)O6)O)O)O)OC(=O)C7=CC(=C(C(=C7C8=C(C(=C(C=C8C(=O)O1)O)O)O)O)O)O,5.79164129,0.160714286
kampo_2862,467308,"[(2R,3R)-6-[(2R,3R,4S)-5,7-Dihydroxy-3-(3,4,5-trihydroxybenzoyl)oxy-2-(3,4,5-trihydroxyphenyl)chroman-4-yl]-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl] 3,4,5-trihydroxybenzoate",C1C(C(OC2=C1C(=C(C(=C2)O)C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O)O)C7=CC(=C(C(=C7)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,5.773546176,0.328358209
kampo_2733,467316,Theasinensin F,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3C4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,5.76868939,0.370967742
kampo_2107,525358,Methyl ethyl trisulfide,CCSSSC,5.754616395,0.12
kampo_2653,10056408,Soystatin,CC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CCSC)C(=O)NC(CC5=CC=C(C=C5)O)C(=O)O)N,5.733889885,0.2625
kampo_0619,5322074,"5,7,4'-Trihydroxy-6-methoxyflavanone",COC1=C(C2=C(C=C1O)OC(CC2=O)C3=CC=C(C=C3)O)O,5.733540258,0.339622642
