comp_name,comp_356,comp_527,comp_346,comp_345,comp_339,comp_150,comp_379,comp_247,comp_100,comp_274,comp_291,comp_206,comp_394,comp_161,comp_267,comp_435,comp_383,comp_349,comp_073,comp_162,comp_338,comp_505,comp_410,comp_471,comp_202,comp_393,comp_201,comp_470,comp_203,comp_035,comp_263,comp_264,comp_265,comp_266,comp_129,comp_328,comp_005,comp_523,comp_074,comp_039,comp_395,comp_038,comp_268,comp_384,comp_321,comp_322,comp_037,comp_456,comp_237,comp_535
comp_356,1.0,0.5119047619047619,0.64,0.5625,0.75,0.5921052631578947,0.7285714285714285,0.1941747572815534,0.20192307692307693,0.22330097087378642,0.07407407407407407,0.09375,0.08247422680412371,0.08421052631578947,0.0851063829787234,0.11650485436893204,0.20430107526881722,0.09523809523809523,0.11458333333333333,0.0851063829787234,0.13,0.15625,0.16326530612244897,0.14,0.16326530612244897,0.15625,0.1595744680851064,0.1568627450980392,0.1326530612244898,0.1935483870967742,0.18181818181818182,0.18085106382978725,0.15625,0.1875,0.15,0.0410958904109589,0.1111111111111111,0.12359550561797752,0.08653846153846154,0.09259259259259259,0.0970873786407767,0.07692307692307693,0.07368421052631578,0.0989010989010989,0.09473684210526316,0.10185185185185185,0.13829787234042554,0.2289156626506024,0.27710843373493976,0.23809523809523808
comp_527,0.5119047619047619,1.0,0.7567567567567568,0.65,0.7051282051282052,0.6842105263157895,0.5058823529411764,0.18181818181818182,0.17857142857142858,0.17699115044247787,0.14953271028037382,0.08737864077669903,0.12,0.1,0.11224489795918367,0.0990990990990991,0.2268041237113402,0.12962962962962962,0.15151515151515152,0.11224489795918367,0.14285714285714285,0.20408163265306123,0.19801980198019803,0.17475728155339806,0.19801980198019803,0.18,0.23404255319148937,0.19047619047619047,0.18,0.20408163265306123,0.19230769230769232,0.21649484536082475,0.20408163265306123,0.19801980198019803,0.19607843137254902,0.0375,0.17,0.11458333333333333,0.07142857142857142,0.06837606837606838,0.10091743119266056,0.07142857142857142,0.06862745098039216,0.09183673469387756,0.07766990291262135,0.09565217391304348,0.1875,0.2111111111111111,0.21505376344086022,0.21978021978021978
comp_346,0.64,0.7567567567567568,1.0,0.7297297297297297,0.7916666666666666,0.7714285714285715,0.569620253164557,0.18867924528301888,0.18518518518518517,0.1834862385321101,0.12264150943396226,0.08,0.10204081632653061,0.10416666666666667,0.10526315789473684,0.102803738317757,0.22340425531914893,0.12380952380952381,0.15789473684210525,0.10526315789473684,0.1485148514851485,0.17525773195876287,0.18181818181818182,0.14705882352941177,0.18181818181818182,0.15151515151515152,0.19148936170212766,0.17475728155339806,0.15151515151515152,0.17525773195876287,0.17647058823529413,0.2,0.17525773195876287,0.17,0.16831683168316833,0.039473684210526314,0.1414141414141414,0.11956521739130435,0.07407407407407407,0.07079646017699115,0.10476190476190476,0.08602150537634409,0.07142857142857142,0.09574468085106383,0.08080808080808081,0.0990990990990991,0.15789473684210525,0.22093023255813954,0.2247191011235955,0.22988505747126436
comp_345,0.5625,0.65,0.7297297297297297,1.0,0.7012987012987013,0.8,0.5949367088607594,0.18518518518518517,0.18181818181818182,0.18018018018018017,0.09009009009009009,0.057692307692307696,0.0784313725490196,0.06930693069306931,0.08080808080808081,0.1111111111111111,0.19387755102040816,0.1111111111111111,0.12,0.08080808080808081,0.14563106796116504,0.1485148514851485,0.14423076923076922,0.13333333333333333,0.14423076923076922,0.13725490196078433,0.15151515151515152,0.21782178217821782,0.13725490196078433,0.1485148514851485,0.14018691588785046,0.16,0.1485148514851485,0.14423076923076922,0.25,0.038461538461538464,0.10576923076923077,0.11702127659574468,0.08256880733944955,0.07894736842105263,0.11320754716981132,0.07291666666666667,0.15053763440860216,0.09375,0.09,0.10714285714285714,0.14285714285714285,0.2159090909090909,0.21978021978021978,0.2247191011235955
comp_339,0.75,0.7051282051282052,0.7916666666666666,0.7012987012987013,1.0,0.7397260273972602,0.5487804878048781,0.1834862385321101,0.18018018018018017,0.17857142857142858,0.07964601769911504,0.05714285714285714,0.07766990291262135,0.07920792079207921,0.08,0.12037037037037036,0.1919191919191919,0.1,0.13,0.08,0.14423076923076922,0.17,0.17647058823529413,0.14285714285714285,0.17647058823529413,0.17,0.17346938775510204,0.16981132075471697,0.14705882352941177,0.20618556701030927,0.17142857142857143,0.19387755102040816,0.17,0.1650485436893204,0.16346153846153846,0.0379746835443038,0.1262135922330097,0.11578947368421053,0.09174311926605505,0.08771929824561403,0.10185185185185185,0.07216494845360824,0.06930693069306931,0.09278350515463918,0.1,0.09649122807017543,0.15306122448979592,0.21348314606741572,0.21739130434782608,0.2222222222222222
comp_150,0.5921052631578947,0.6842105263157895,0.7714285714285715,0.8,0.7397260273972602,1.0,0.6266666666666667,0.25252525252525254,0.24752475247524752,0.24509803921568626,0.09345794392523364,0.06,0.08163265306122448,0.07216494845360824,0.08421052631578947,0.11538461538461539,0.20212765957446807,0.11538461538461539,0.125,0.08421052631578947,0.15151515151515152,0.21739130434782608,0.18556701030927836,0.15,0.15,0.14285714285714285,0.15789473684210525,0.14423076923076922,0.16666666666666666,0.15463917525773196,0.1568627450980392,0.16666666666666666,0.15463917525773196,0.15,0.1485148514851485,0.04054054054054054,0.11,0.12222222222222222,0.08571428571428572,0.08181818181818182,0.17525773195876287,0.07608695652173914,0.07291666666666667,0.09782608695652174,0.09375,0.1320754716981132,0.14893617021276595,0.2261904761904762,0.22988505747126436,0.23529411764705882
comp_379,0.7285714285714285,0.5058823529411764,0.569620253164557,0.5949367088607594,0.5487804878048781,0.6266666666666667,1.0,0.20388349514563106,0.21153846153846154,0.23300970873786409,0.09345794392523364,0.10416666666666667,0.09278350515463918,0.08333333333333333,0.09574468085106383,0.11538461538461539,0.21505376344086022,0.11538461538461539,0.1134020618556701,0.09574468085106383,0.14,0.15463917525773196,0.15,0.16161616161616163,0.16161616161616163,0.14285714285714285,0.15789473684210525,0.14423076923076922,0.14285714285714285,0.15463917525773196,0.18,0.16666666666666666,0.16666666666666666,0.19791666666666666,0.1485148514851485,0.04054054054054054,0.11,0.12222222222222222,0.07547169811320754,0.09174311926605505,0.10679611650485436,0.08791208791208792,0.07291666666666667,0.09782608695652174,0.08247422680412371,0.1111111111111111,0.14893617021276595,0.2261904761904762,0.2891566265060241,0.23529411764705882
comp_247,0.1941747572815534,0.18181818181818182,0.18867924528301888,0.18518518518518517,0.1834862385321101,0.25252525252525254,0.20388349514563106,1.0,0.7534246575342466,0.7916666666666666,0.12264150943396226,0.1368421052631579,0.16129032258064516,0.16483516483516483,0.1797752808988764,0.1568627450980392,0.3372093023255814,0.14563106796116504,0.1956521739130435,0.1797752808988764,0.1262135922330097,0.17525773195876287,0.15841584158415842,0.13592233009708737,0.15841584158415842,0.11764705882352941,0.12,0.12037037037037036,0.14,0.11764705882352941,0.14285714285714285,0.12871287128712872,0.15151515151515152,0.125,0.11320754716981132,0.05333333333333334,0.21505376344086022,0.24096385542168675,0.22105263157894736,0.23469387755102042,0.2608695652173913,0.23170731707317074,0.1797752808988764,0.2261904761904762,0.18888888888888888,0.22,0.12244897959183673,0.4,0.4342105263157895,0.38961038961038963
comp_100,0.20192307692307693,0.17857142857142858,0.18518518518518517,0.18181818181818182,0.18018018018018017,0.24752475247524752,0.21153846153846154,0.7534246575342466,1.0,0.7945205479452054,0.11009174311926606,0.1702127659574468,0.15789473684210525,0.14893617021276595,0.17582417582417584,0.1320754716981132,0.32954545454545453,0.1320754716981132,0.19148936170212766,0.17582417582417584,0.12380952380952381,0.1836734693877551,0.16666666666666666,0.20202020202020202,0.14423076923076922,0.1262135922330097,0.12871287128712872,0.12844036697247707,0.1485148514851485,0.1262135922330097,0.18446601941747573,0.13725490196078433,0.13725490196078433,0.16666666666666666,0.12149532710280374,0.05194805194805195,0.19791666666666666,0.22093023255813954,0.20408163265306123,0.21782178217821782,0.22916666666666666,0.19767441860465115,0.16304347826086957,0.20689655172413793,0.17204301075268819,0.22772277227722773,0.13131313131313133,0.38961038961038963,0.48,0.379746835443038
comp_274,0.22330097087378642,0.17699115044247787,0.1834862385321101,0.18018018018018017,0.17857142857142858,0.24509803921568626,0.23300970873786409,0.7916666666666666,0.7945205479452054,1.0,0.0990990990990991,0.20652173913043478,0.14432989690721648,0.13541666666666666,0.16129032258064516,0.1308411214953271,0.3111111111111111,0.12037037037037036,0.17708333333333334,0.16129032258064516,0.12264150943396226,0.17,0.15384615384615385,0.1650485436893204,0.1320754716981132,0.11428571428571428,0.11650485436893204,0.11711711711711711,0.13592233009708737,0.11428571428571428,0.1941747572815534,0.125,0.125,0.2,0.11009174311926606,0.05128205128205128,0.1958762886597938,0.24705882352941178,0.2268041237113402,0.24,0.25263157894736843,0.2235294117647059,0.18681318681318682,0.23255813953488372,0.1956521739130435,0.2376237623762376,0.1188118811881188,0.38461538461538464,0.5555555555555556,0.375
