number,pIC50(pred),cid,name,smiles,rex,rUV,rorb,rIR,rfreq,IPv,C-S0,S0-C,EAv,A-S0,S0-A,STv,T1-S0,S0-T1,Esolv,mu,Vmol,MW,B1,B2,B3,1/dE1,1/dE2,1/dE3,1/dE4,1/dE5,1/dE6,1/dE7,1/dE8,1/dE9,1/dE10,1/dE11,1/dE12,1/dE13,1/dE14,1/dE15,1/dE16,1/dE17,1/dE18,1/dE19,1/dE20,1/dE21,1/dE22,1/dE23,1/dE24,1/dE25,1/dE26,1/dE27,1/dE28,1/dE29,1/dE30
kampo_1701,5.621485437,15228661,Hispaglabridin B,CC1(C=CC2=C(O1)C=CC(=C2O)C3CC4=C(C5=C(C=C4)OC(C=C5)(C)C)OC3)C,16.22380936,14.03236977,88.68680265,26.6075986,66.70653111,7.46851419,0.28240473,0.2799054,-0.77484546,0.27790213,0.15038948,3.50772103,1.91902176,0.80789703,-0.32757009,1.2285,285.155,390.479,19.8508015,7.196647738,6.836479788,0.218464631,0.216675334,0.205867216,0.203886068,0.168055929,0.166008168,0.163974748,0.162466897,0.161600491,0.159225527,0.157713781,0.156806172,0.150251672,0.14955731,0.142879595,0.142460289,0.141902343,0.141418713,0.139713587,0.139394193,0.135974872,0.134970981,0.134159757,0.133596965,0.133221427,0.13273514,0.132144037,0.130561939,0.127823297,0.127463227
kampo_2434,5.620214831,12305721,Preskimmianine,CC(=CCC1=C(C2=C(C(=C(C=C2)OC)OC)NC1=O)OC)C,19.69979542,13.88052372,88.99015602,25.35128131,62.23121898,7.58161861,0.60441018,0.35310354,-0.47861101,0.31460841,0.317511,3.49303443,0.60516529,0.59490075,-0.35509593,6.1205,215.934,303.358,13.95376008,10.41473715,6.930249349,0.22283626,0.203587207,0.200521356,0.18734661,0.177292391,0.165903511,0.158015327,0.155666252,0.153839054,0.148884852,0.147063149,0.144160768,0.14033512,0.137481612,0.134424863,0.13418316,0.133278245,0.132383701,0.131085651,0.130848948,0.128781342,0.127147198,0.125089126,0.12479409,0.122309198,0.121768567,0.120954086,0.120105693,0.119149747,0.117886994
kampo_1673,5.61722833,5280953,Harmine,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC,13.2097417,15.72489463,87.03675907,42.56541084,70.72430715,7.618232703,0.21793932,0.17485111,-0.835695279,0.201237236,0.199434072,3.849101855,0.446472264,0.444423276,-0.315395653,3.301,160.098,212.252,13.33046013,7.841595319,4.180779059,0.220157633,0.205935048,0.198511166,0.177834685,0.171444246,0.1668335,0.165543728,0.153015164,0.148299743,0.14272665,0.140938368,0.138398727,0.137008823,0.132798598,0.1305006,0.128450502,0.127740024,0.125112601,0.123924951,0.123647604,0.122977028,0.122225482,0.121537695,0.11934456,0.118663376,0.116721526,0.115572198,0.115449445,0.114433497,0.113891325
kampo_2625,5.611156222,6760,Skimmianine,COC1=C(C2=C(C=C1)C(=C3C=COC3=N2)OC)OC,13.67653904,14.93184877,87.51295419,52.78305093,63.56931814,7.2103218,0.3457917,0.570769092,-0.454996491,0.314822399,0.332724679,3.103435774,0.507742293,0.569907918,-0.400990656,5.0677,173.909,259.261,12.65212382,8.532348834,4.617147652,0.238840192,0.219582354,0.185332765,0.18481897,0.177942276,0.162861145,0.162198109,0.16084411,0.153940887,0.15293326,0.147797813,0.142604529,0.138802138,0.135943448,0.133704139,0.132622477,0.132404735,0.13045974,0.12940126,0.128816179,0.127604732,0.125626562,0.124285359,0.121832359,0.121499301,0.119683079,0.119281923,0.118292798,0.117414992,0.116922142
kampo_0433,5.600594678,5284648,"3',4',7-Trihydroxyisoflavone",C1=CC(=C(C=C1C2=COC3=C(C2=O)C=CC(=C3)O)O)O,24.03088101,32.46511936,89.53075204,33.2780725,74.17623697,7.539876996,0.309374729,0.310302135,-0.346276192,0.559310948,0.31653612,3.570221159,1.412825759,0.792243258,-0.60543928,4.0654,183.554,270.24,14.94621247,7.27083505,4.462851777,0.251054429,0.220901721,0.203392588,0.196780668,0.189289973,0.183012756,0.174046227,0.168050281,0.163792115,0.163396023,0.16,0.155794787,0.154247197,0.150557061,0.146901121,0.144749222,0.144366807,0.142673705,0.141950686,0.137241985,0.136634421,0.136375414,0.133239178,0.132828585,0.131760986,0.130718954,0.129553817,0.128308762,0.127152048,0.126750745
kampo_0782,5.600420177,64961,"9H-Pyrido[3,4-B]indole",C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,13.62911239,8.563315015,85.14895574,28.01246897,72.04095339,7.882114287,0.079778134,0.077873364,-0.668177941,0.184466117,0.181387491,3.87107022,0.461530696,0.316190024,-0.287944026,2.9478,123.256,168.199,10.61813063,7.637195135,3.39824501,0.224466891,0.204947431,0.19619384,0.175586459,0.165382198,0.165242824,0.161077285,0.150441546,0.145721613,0.140303617,0.138228464,0.135871411,0.132930996,0.132352163,0.129185614,0.127163367,0.126006477,0.124169616,0.121980971,0.120983353,0.120371708,0.118968307,0.118872141,0.116872947,0.115549496,0.115389497,0.114821109,0.113051834,0.111759315,0.110381368
kampo_0119,5.596030962,6546086,"(2S)-5,7-Dihydroxy-6-(3-methylbut-2-enyl)-2-phenylchroman-4-one",CC(=CCC1=C(C2=C(C=C1O)OC(CC2=O)C3=CC=CC=C3)O)C,13.47765691,7.48521401,91.30789758,33.80059257,74.61946163,7.7851392,0.741309,0.47027982,-0.26996414,0.30734144,0.30639232,3.67188444,1.08200432,1.03285881,-0.34269234,4.0821,246.956,324.376,17.12424581,8.108384158,7.004172484,0.23882308,0.230637945,0.203053931,0.184216344,0.177822036,0.165895254,0.161360593,0.15795792,0.155238524,0.153167504,0.150836388,0.15000825,0.148579579,0.147030715,0.142918394,0.139956054,0.139670657,0.137828376,0.136853198,0.136572841,0.135188114,0.134006942,0.133125657,0.132051553,0.131281836,0.130193076,0.12923069,0.128809542,0.128447202,0.128175549
kampo_1405,5.591428766,42978,Egomaketone,CC(=CCC(=O)C1=COC=C1)C,1.701825015,0.971331782,82.94518221,25.78909285,53.30421575,8.664166509,0.543662092,0.36932078,-1.060348996,0.287469385,0.391758345,4.009648877,1.196832242,0.691703565,-0.199847135,3.0421,130.913,164.204,11.85553089,6.796602488,4.146442943,0.248046633,0.176510043,0.170534968,0.149229231,0.141839948,0.13892362,0.132409994,0.126227563,0.125212862,0.124401319,0.122328648,0.121753741,0.119664461,0.119155426,0.116061791,0.113401828,0.11219441,0.111456627,0.111278028,0.110258446,0.109720104,0.105823465,0.104354723,0.104036621,0.103767809,0.103338879,0.102954803,0.102459016,0.101772884,0.10154243
kampo_1526,5.585851069,5280961,Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,24.62284157,33.56544027,90.81172219,35.11279454,76.19729581,7.779754125,0.315373884,0.293570662,-0.200078863,0.599822494,0.39931152,3.546661957,1.200672613,0.736864464,-0.422526176,1.2634,178.152,270.24,15.22259067,7.615926683,4.416454321,0.229315722,0.226515958,0.206615839,0.19881111,0.191681043,0.184672207,0.17367443,0.16655563,0.164511565,0.157178335,0.155308443,0.15272072,0.150006,0.147972773,0.146877387,0.142106011,0.141448718,0.139631652,0.135677847,0.135369287,0.134960052,0.134680135,0.131905239,0.131675972,0.130271094,0.129605869,0.128660388,0.127645452,0.127224844,0.125702362
kampo_1739,5.577608523,10212,Imperatorin,CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C,19.06855009,26.26235982,88.76153785,56.54846026,68.3057361,7.805288845,0.338924379,0.404688413,-0.152484158,0.292147853,0.437769914,3.615752482,0.507038644,0.639418363,-0.375912073,6.0399,182.914,270.284,13.06443522,10.99504535,4.811712383,0.236116358,0.208925288,0.205892648,0.184576765,0.176722157,0.163007156,0.157898061,0.154097451,0.149934029,0.145727984,0.145131562,0.144462743,0.140530362,0.138944853,0.135457304,0.134887234,0.133600534,0.132837407,0.132392464,0.131169904,0.128359818,0.126977677,0.124868888,0.123665954,0.123060263,0.122379548,0.121673744,0.121279744,0.118409056,0.118076301
