,index,pIC50,index,number,cid,name,smiles,rex,rUV,rorb,rIR,rfreq,IPv,C-S0,S0-C,EAv,A-S0,S0-A,STv,T1-S0,S0-T1,Esolv,mu,T_mu,Vmol,MW,B1,B2,B3,nuclear_repulsion_energy,E0,dE1,dE2,dE3,dE4,dE5,dE6,dE7,dE8,dE9,dE10,dE11,dE12,dE13,dE14,dE15,dE16,dE17,dE18,dE19,dE20,dE21,dE22,dE23,dE24,dE25,dE26,dE27,dE28,dE29,dE30,1/dE1,1/dE2,1/dE3,1/dE4,1/dE5,1/dE6,1/dE7,1/dE8,1/dE9,1/dE10,1/dE11,1/dE12,1/dE13,1/dE14,1/dE15,1/dE16,1/dE17,1/dE18,1/dE19,1/dE20,1/dE21,1/dE22,1/dE23,1/dE24,1/dE25,1/dE26,1/dE27,1/dE28,1/dE29,1/dE30
1771,1771,5.040157909,1771,kampo_2012,112111,Liquiritic acid,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,9.33184184,23.20189731,86.82823589,19.06791254,59.61649186,8.57736244,0.44753251,0.45740548,-0.53166729,1.62644228,0.85016905,3.96488923,1.39100645,1.1063647,-0.31663263,4.8577,4.7149,367.042,470.694,15.51319218,9.322540887,8.052965341,4197.848056,-1471.233964,3.8533,5.3788,5.4569,6.3023,6.5039,6.8257,6.8702,6.9531,7.1994,7.2624,7.4153,7.4311,7.6158,7.7652,7.7974,7.8527,7.8731,7.9716,7.9868,8.0395,8.2163,8.3248,8.3831,8.3938,8.4698,8.5383,8.5593,8.5821,8.6048,8.6641,0.259517816,0.185915074,0.183254229,0.158672231,0.153753902,0.14650512,0.14555617,0.143820742,0.138900464,0.137695528,0.134856311,0.134569579,0.131305969,0.128779684,0.128247877,0.127344735,0.127014772,0.125445331,0.125206591,0.124385845,0.121709285,0.120123006,0.119287614,0.119135552,0.118066542,0.117119333,0.116831984,0.116521597,0.116214206,0.115418797
1676,1676,5.040100043,1676,kampo_1915,381851,Kushenol N,CC(=CCC(CC1=C2C(=C(C=C1O)OC)C(=O)C(C(O2)C3=C(C=C(C=C3)O)O)O)C(=C)C)C,11.80344213,8.410463188,90.11862984,42.7684214,72.06778734,7.65403824,0.39328439,0.39091023,-0.52571053,0.32106068,0.35100611,3.71548599,0.37580785,0.36324099,-0.68439665,2.8298,4.8402,337.992,454.519,13.98223047,13.17592351,7.811912365,3573.495105,-1534.756263,3.6398,4.5959,5.03,5.3215,5.5272,5.8583,6.0305,6.1773,6.311,6.3264,6.3497,6.5738,6.7148,6.7748,6.8115,6.9189,6.9428,6.9547,7.0292,7.1073,7.1345,7.152,7.2152,7.2587,7.2734,7.3024,7.3172,7.34,7.3417,7.377,0.27474037,0.217585239,0.198807157,0.187916941,0.180923433,0.170697984,0.165823729,0.161883023,0.158453494,0.158067779,0.157487755,0.152119018,0.148924763,0.147605833,0.146810541,0.144531645,0.144034107,0.143787654,0.1422637,0.140700407,0.140163992,0.139821029,0.138596297,0.137765716,0.137487282,0.13694128,0.136664298,0.136239782,0.136208235,0.135556459
1181,1181,5.03998022,1181,kampo_1378,10341941,Dihydrodaidzin,C1C(C(=O)C2=C(O1)C=C(C=C2)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O,19.57395537,17.31664914,92.34392995,46.86866586,82.15095762,8.15638187,0.35153809,0.32311974,-0.11012999,0.40665451,0.34593181,4.3999338,2.17796082,0.66333696,-0.66116906,5.6791,5.8676,268.125,418.398,16.44832423,8.705033774,7.363294381,2961.038454,-1489.920853,3.7661,4.7463,5.1289,5.299,5.3725,6.1104,6.1747,6.2838,6.3976,6.5964,6.8599,7.0437,7.0837,7.1409,7.1918,7.2938,7.3086,7.3467,7.3802,7.4575,7.4845,7.564,7.6099,7.6317,7.6477,7.7413,7.8219,7.8725,7.9354,7.9519,0.265526672,0.210690433,0.194973581,0.188714852,0.186133085,0.163655407,0.161951188,0.159139374,0.156308616,0.151597841,0.14577472,0.141970839,0.141169163,0.140038371,0.139047248,0.137102745,0.13682511,0.136115535,0.135497683,0.134093195,0.13360946,0.132205182,0.131407771,0.131032404,0.130758267,0.12917727,0.127846175,0.127024452,0.126017592,0.125756109
1292,1292,5.039627659,1292,kampo_1506,480780,Gancaonin G,CC(=CCC1=C(C=C2C(=C1O)C(=O)C(=CO2)C3=CC=C(C=C3)O)OC)C,26.57329856,33.95435025,91.04913528,44.04428494,75.57773822,7.41996949,0.32655322,0.30089406,-0.72215789,0.63043125,0.35050135,3.67847903,2.04366256,0.84154725,-0.51008434,4.2284,1.8458,250.391,352.386,15.65653105,10.93932132,6.604571706,2206.533736,-1187.909623,3.8614,4.7305,4.8959,5.2078,5.3674,5.4166,5.7514,5.8798,5.9592,6.2618,6.3575,6.4708,6.5761,6.5979,6.6678,6.7467,6.7635,6.8488,6.9651,6.9929,7.0426,7.0918,7.2273,7.277,7.3172,7.3645,7.4083,7.4242,7.5732,7.603,0.258973429,0.211394144,0.204252538,0.192019663,0.186309945,0.184617657,0.17387071,0.170073812,0.167807759,0.159698489,0.157294534,0.154540397,0.152065814,0.151563376,0.149974504,0.148220612,0.147852443,0.14601098,0.143572957,0.143002188,0.141993014,0.141007925,0.138364258,0.137419266,0.136664298,0.135786544,0.134983734,0.134694647,0.132044578,0.131527029
2085,2085,5.039428822,2085,kampo_2375,16088226,Phellodenol F,CC(C)(C(C(C1=C(C=C2C(=C1)C=CC(=O)O2)O)O)OO)O,11.27951362,8.323841031,89.53268319,60.959706,70.78422813,8.40236196,0.4205558,0.55861135,0.06125223,0.36782659,0.38887729,3.37422576,0.505145,0.52239215,-0.60481155,3.5092,3.4505,195.319,296.275,14.23346533,7.14788049,6.467386906,1775.87935,-1069.187727,4.5076,4.9105,5.1001,5.8559,5.9807,6.0361,6.2542,6.6189,6.7683,6.8029,6.8235,7.0704,7.1306,7.1397,7.2559,7.3859,7.4684,7.5043,7.5549,7.8985,7.9207,7.9541,7.992,8.11,8.1178,8.1477,8.1943,8.2586,8.3247,8.3622,0.221847546,0.20364525,0.196074587,0.170767943,0.167204508,0.165669886,0.159892552,0.151082506,0.147747588,0.146996134,0.146552356,0.141434714,0.140240653,0.140061907,0.137818878,0.135393114,0.133897488,0.133256933,0.132364426,0.126606318,0.126251468,0.125721326,0.125125125,0.123304562,0.123186085,0.122734023,0.122036049,0.121085898,0.120124449,0.119585755
1946,1946,5.039389912,1946,kampo_2211,10058590,N-[(3s)-2-Oxotetrahydrofuran-3-Yl]hexanamide,CCCCCC(=O)NC1CCOC1=O,1.748879109,0.074270664,82.71423225,17.69872934,56.73007185,9.566634807,0.418592935,0.478657027,-2.320754706,1.589906757,0.843104726,5.429583157,2.635222165,1.162151741,-0.329983633,1.487,3.1243,156.204,199.25,14.53127364,6.736238079,4.963952685,889.2601948,-671.4849772,5.5153,5.6507,7.2808,7.6196,8.2045,8.276,8.8191,8.9059,9.1451,9.4553,9.4654,9.5938,9.6138,9.6826,9.7629,9.9354,9.9818,9.9916,10.156,10.1725,10.2303,10.2592,10.2907,10.3096,10.4339,10.4575,10.5043,10.5451,10.6241,10.7283,0.1813138,0.176969225,0.137347544,0.131240485,0.121884332,0.120831319,0.113390255,0.112285114,0.109348176,0.10576079,0.105647939,0.104233984,0.104017142,0.103278045,0.102428582,0.1006502,0.100182332,0.100084071,0.098463962,0.098304252,0.097748844,0.097473487,0.097175119,0.096996974,0.09584144,0.095625149,0.095199109,0.094830774,0.09412562,0.093211413
1250,1250,5.038831451,1250,kampo_1454,442837,Eudesobovatol A,CC12CCCC(C1CC(CC2)C(C)(C)O)(C)OC3=CC(=CC(=C3O)OC4=CC=C(C=C4)CC=C)CC=C,8.85874816,3.319248493,90.13267219,40.32930352,71.14731257,7.73993684,0.54825267,0.52195949,-1.31072883,0.1898272,0.19761988,4.61127456,2.65956531,1.16240249,-0.31901224,2.7643,1.8347,400.905,504.711,19.9156524,11.33610159,9.548850387,4147.442689,-1584.224322,5.163,5.3625,5.7518,5.9957,6.3233,6.4033,6.4754,6.6266,6.7505,6.8242,6.9121,6.9952,7.0606,7.0916,7.117,7.1718,7.2118,7.242,7.3402,7.3492,7.4149,7.4337,7.4728,7.5099,7.7221,7.7916,7.9286,7.9953,8.0155,8.0712,0.193685842,0.186480186,0.173858618,0.166786197,0.158145272,0.156169475,0.154430614,0.150906951,0.148137175,0.146537323,0.144673833,0.142955169,0.141631023,0.141011901,0.140508641,0.139435009,0.138661638,0.138083402,0.13623607,0.136069232,0.134863585,0.134522512,0.133818649,0.133157565,0.129498452,0.128343344,0.126125672,0.125073481,0.124758281,0.123897314
145,145,5.03683076,145,kampo_0174,6442560,(8)-Shogaol,CCCCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC,9.088888721,4.460780116,87.83957628,35.02715543,63.43098458,7.610895801,0.373680227,0.63389434,-0.920826634,0.511997522,0.754923997,4.810058673,2.400097411,1.377501799,-0.435227155,3.7221,4.0908,247.221,304.43,17.38905303,8.222347159,7.144785293,1767.813071,-966.1160284,3.7217,5.0675,5.39,5.9498,6.1084,6.2158,6.7829,6.8793,6.9956,7.0211,7.3359,7.5083,7.6005,7.6105,7.7767,7.934,8.0463,8.1,8.1575,8.231,8.2548,8.3241,8.3637,8.3968,8.4319,8.4545,8.4949,8.5435,8.587,8.6023,0.268694414,0.197335964,0.185528757,0.168072876,0.163708991,0.160880337,0.147429566,0.145363627,0.142946995,0.142427825,0.136315926,0.133185941,0.131570291,0.131397411,0.128589247,0.126039829,0.124280725,0.12345679,0.122586577,0.121491921,0.121141639,0.120133107,0.119564308,0.119092988,0.118597232,0.118280206,0.117717689,0.117048048,0.116455107,0.11624798
371,371,5.036589609,371,kampo_0426,11745794,"2H-1-Benzopyran-2-one, 7-hydroxy-8-(2-hydroxyethyl)-",C1=CC(=C(C2=C1C=CC(=O)O2)CCO)O,13.19686738,7.727634123,89.4490487,46.00897655,71.10529341,8.05359537,0.342180311,0.332819945,-0.317686139,0.369338304,0.49870786,3.322877795,0.460736053,0.482584091,-0.363021733,3.2538,3.4275,142.537,206.197,10.45711878,8.32456381,5.421992703,981.8120428,-725.8185906,4.4759,4.9337,4.9715,5.6631,6.3146,6.7094,6.8267,6.8817,7.0919,7.4069,7.6775,7.8392,7.9742,8.0045,8.034,8.0974,8.2065,8.2996,8.3567,8.4508,8.4972,8.5737,8.6494,8.6961,8.83,8.9139,8.9575,8.9668,9.0506,9.1511,0.223418754,0.202687638,0.201146535,0.176581731,0.158363158,0.149044624,0.14648366,0.145312931,0.141005936,0.135009248,0.130250733,0.127564037,0.125404429,0.124929727,0.124470998,0.123496431,0.121854627,0.120487734,0.119664461,0.118331992,0.117685826,0.116635758,0.115614956,0.114994078,0.113250283,0.112184341,0.111638292,0.111522505,0.110489912,0.10927648
2291,2291,5.036156351,2291,kampo_2611,101232216,Shogasulfonic acid B,COC1=C(C=CC(=C1)CCC(=O)CC(CCC2=CC(=C(C=C2)O)O)S(=O)(=O)O)O,16.73541032,5.47379303,90.61759039,27.61365742,71.90329905,7.58683986,0.17623013,0.17287393,-0.64636138,1.76452913,1.72276677,4.19087468,1.09233498,0.56047693,-0.91119244,6.0195,4.7228,296.022,424.464,19.54849145,8.455310712,7.473745377,2882.650773,-1775.925077,4.2781,5.2104,5.2451,5.4109,5.678,6.0778,6.1006,6.3743,6.5812,6.9513,6.9729,7.0044,7.0238,7.0375,7.0892,7.2783,7.3503,7.4662,7.5265,7.5467,7.5843,7.684,7.8084,7.8184,8.0361,8.1187,8.1295,8.1939,8.2186,8.2324,0.233748627,0.191923845,0.190654134,0.184812138,0.176118352,0.164533219,0.163918303,0.156879971,0.151947973,0.143857983,0.143412354,0.142767403,0.142373074,0.142095915,0.14105964,0.137394721,0.136048869,0.133936942,0.132863881,0.132508249,0.131851324,0.130140552,0.12806721,0.127903407,0.124438471,0.123172429,0.123008795,0.122042007,0.121675224,0.12147126
939,939,5.035838807,939,kampo_1091,135764968,CID 135764968,CCC1=C(C2=CC3=C(C(=C(N3)C=C4C(C(=C(N4)C5=C(OC(=O)C6=C(C(=CC1=N2)N=C65)C)O)CCC(=O)OC)C)C)C=C)C,74.68455529,54.62382807,91.07707868,42.34646381,65.36019844,5.81911343,0.17407937,0.13954617,1.75959033,0.2081217,0.19658859,1.00642005,0.1622981,0.1643762,-0.55684427,7.6009,7.1593,406.083,578.669,19.39148763,14.27188304,5.564295289,5016.500169,-1910.472584,1.6191,3.0386,3.0784,3.1887,3.3857,3.6765,3.8478,3.8762,4.0007,4.1561,4.3727,4.5197,4.7141,4.7246,4.8234,4.8768,4.9938,5.1329,5.2076,5.2119,5.2432,5.3018,5.4138,5.5149,5.7709,5.7894,5.8465,6.0003,6.0155,6.0901,0.617627077,0.329098927,0.324844075,0.313607426,0.295359896,0.271997824,0.259888768,0.257984624,0.249956258,0.240610187,0.228691655,0.221253623,0.212129569,0.21165813,0.207322635,0.205052493,0.200248308,0.194821641,0.192027037,0.191868608,0.190723222,0.188615187,0.18471314,0.181326951,0.173283197,0.172729471,0.171042504,0.166658334,0.166237221,0.164200916
1227,1227,5.03477543,1227,kampo_1428,442678,Epigallocatechin-(4beta->8)-epicatechin-3-O-gallate ester,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C(=C5)O)O)O)O)O)O)C6=CC(=C(C=C6)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O,27.3379021,16.22472978,92.42553655,45.24865009,79.87212197,7.42786013,0.40807982,0.35991554,-0.64036816,0.46901369,0.47397289,3.76509436,0.47435466,0.49470169,-1.21145086,8.4028,9.7806,455.919,746.63,14.93531713,13.31725956,11.28048269,7868.560748,-2705.844723,4.9293,5.155,5.1847,5.2179,5.2194,5.2446,5.3117,5.5437,5.6983,5.7216,5.7951,5.8225,5.8414,5.8518,5.8686,5.9017,5.9042,5.9561,6.0538,6.0872,6.1066,6.2166,6.2451,6.2904,6.3096,6.3243,6.3595,6.3774,6.3892,6.4048,0.202868561,0.193986421,0.19287519,0.191647981,0.191592903,0.190672311,0.188263644,0.180384941,0.175490936,0.174776286,0.172559576,0.171747531,0.171191838,0.17088759,0.170398391,0.169442703,0.169370956,0.167895099,0.165185503,0.164279143,0.163757246,0.160859634,0.160125538,0.158972402,0.158488652,0.158120266,0.157245066,0.156803713,0.156514118,0.1561329
2230,2230,5.033925053,2230,kampo_2545,42608044,Sanggenon N,CC(=CCCC1(C=CC2=C(O1)C=CC(=C2O)C3CC(=O)C4=C(C=C(C=C4O3)O)O)C)C,25.21881947,16.60390361,91.29276191,33.83356846,75.33604209,7.55897117,0.31417439,0.32802125,-0.54677375,0.31954013,0.31032376,3.55206761,2.0006368,0.88875887,-0.58599976,3.0458,3.1987,320.889,422.477,19.95551471,7.578847608,7.413412325,2937.501232,-1419.094636,3.7346,4.6236,4.868,4.9074,5.3128,5.5083,5.6241,6.0284,6.1957,6.3069,6.4078,6.5538,6.6084,6.6537,6.7898,6.8268,6.8441,6.8646,6.9574,6.9941,7.0861,7.1453,7.1593,7.2227,7.4161,7.439,7.4961,7.5633,7.5739,7.6455,0.267766294,0.216281685,0.205423172,0.203773892,0.188224665,0.181544215,0.177806227,0.165881494,0.161402263,0.158556502,0.156059802,0.152583234,0.151322559,0.150292319,0.147279743,0.146481514,0.146111249,0.145674912,0.143731854,0.142977653,0.14112135,0.139952136,0.13967846,0.138452379,0.134841763,0.13442667,0.133402703,0.132217418,0.132032374,0.130795893
1781,1781,5.033361859,1781,kampo_2023,5326566,Lumichrome,CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3,16.84019802,27.41498217,85.03725498,36.14492082,62.6653132,8.57190941,0.262604272,0.250491894,0.910293365,0.242804705,0.24093052,3.182989609,0.490165212,0.437073531,-0.42005003,5.3241,7.8557,162.632,242.238,12.76842174,7.710132472,4.156932863,1235.6162,-832.5106488,3.6944,3.9682,4.4262,4.4981,5.363,5.4909,5.6825,5.7151,5.9638,5.9881,6.2769,6.6347,6.7912,6.9159,6.9298,6.98,7.2174,7.2284,7.3043,7.3468,7.4264,7.5319,7.5607,7.7342,7.8144,7.932,7.9469,8.0105,8.2028,8.2156,0.270679948,0.252003427,0.225927432,0.222316089,0.186462801,0.182119507,0.175978883,0.174975066,0.167678326,0.166997879,0.159314311,0.150722715,0.147249382,0.144594341,0.144304309,0.143266476,0.13855405,0.138343202,0.136905658,0.136113682,0.134654745,0.132768624,0.132262886,0.129295855,0.127968878,0.126071609,0.125835231,0.124836153,0.121909592,0.121719655
108,108,5.032538498,108,kampo_0121,11596309,"(2S)-7-Hydroxy-2-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one",CC(=CCC1=C(C=CC(=C1)C2CC(=O)C3=C(O2)C(=C(C=C3)O)CC=C(C)C)O)C,13.58105492,10.83847825,89.95193172,39.64079251,69.55324399,7.87556408,0.2590596,0.18833304,-0.46963002,0.25686041,0.24350008,3.79191761,0.4335749,0.43631096,-0.46559572,1.7416,3.54,305.631,392.495,16.46242052,11.11140829,8.185809964,2715.534741,-1269.898767,3.8896,4.7283,5.0488,5.2322,5.6502,5.7369,5.9496,6.061,6.179,6.2742,6.3093,6.5685,6.6152,6.6748,6.7108,6.8122,6.861,6.8769,6.961,6.977,7.0953,7.1165,7.1417,7.3268,7.3419,7.3755,7.4415,7.4943,7.5184,7.5281,0.257095845,0.211492503,0.198066867,0.191124193,0.176984885,0.174310168,0.168078526,0.164989276,0.161838485,0.15938287,0.158496188,0.15224176,0.151167009,0.149817223,0.14901353,0.146795455,0.145751348,0.145414358,0.14365752,0.143328078,0.140938368,0.140518513,0.140022684,0.136485232,0.136204525,0.135584028,0.134381509,0.133434744,0.133007023,0.132835642
1142,1142,5.032499021,1142,kampo_1334,6451084,Danfensuan B,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=C3C(C(OC3=C(C=C2)O)C4=CC(=C(C=C4)O)O)C(=O)OC(CC5=CC(=C(C=C5)O)O)C(=O)O)O)O,41.76134461,23.44863761,92.8061648,54.0163689,82.76830012,7.61925959,0.40548498,0.35780641,-0.00367076,0.14294809,1.33508866,3.65888003,2.12158779,1.46320159,-1.20442335,5.1915,5.651,474.022,718.62,16.39738848,15.17101273,9.668292639,7025.815711,-2592.555536,4.3133,4.7814,4.8919,4.9927,5.205,5.2644,5.2799,5.3845,5.4214,5.5163,5.5481,5.631,5.6579,5.7481,5.7979,5.9653,6.0281,6.0926,6.1115,6.2475,6.2919,6.3131,6.3314,6.3509,6.3696,6.4888,6.5153,6.5484,6.6264,6.6883,0.23184105,0.209143765,0.204419551,0.200292427,0.192122959,0.189955171,0.189397526,0.185718265,0.1844542,0.181280931,0.180241885,0.17758835,0.176744022,0.173970529,0.172476241,0.167636162,0.16588975,0.164133539,0.163625951,0.160064026,0.158934503,0.158400786,0.157942951,0.157457998,0.15699573,0.1541117,0.153484874,0.152709059,0.150911505,0.149514824
1826,1826,5.031820855,1826,kampo_2072,5319292,Martynoside,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)OC)CO)OCCC4=CC(=C(C=C4)OC)O)O)O)O)O,14.00732755,10.38800376,90.84594347,46.46954236,75.39225521,7.37415868,0.17397897,0.16294273,-0.17061841,0.65458264,0.9256208,3.28735247,2.17060432,1.05056419,-1.03863216,3.8028,3.6915,467.431,652.646,13.37980032,11.42036228,2.987146426,6011.630531,-2332.787936,4.4375,4.9804,5.029,5.2546,5.6632,5.7928,5.9797,6.414,6.5354,6.6691,6.6786,6.6891,6.9512,7.0124,7.0356,7.0461,7.051,7.0711,7.2861,7.3415,7.3657,7.4131,7.4653,7.5139,7.5472,7.5721,7.6431,7.7687,7.7703,7.788,0.225352113,0.200787085,0.198846689,0.190309443,0.176578613,0.17262809,0.16723247,0.155908949,0.153012822,0.14994527,0.14973198,0.149496943,0.143860053,0.142604529,0.142134288,0.141922482,0.141823855,0.141420712,0.137247636,0.136211946,0.135764422,0.134896332,0.13395309,0.133086679,0.13249947,0.13206376,0.130836964,0.128721665,0.12869516,0.128402671
1291,1291,5.031160727,1291,kampo_1504,5317481,Gancaonin D,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=CO2)C3=CC(=C(C=C3)OC)O)CO,25.06426638,33.6353849,92.3008043,34.88870422,75.78317754,7.39575877,0.33499652,0.31260921,-0.19080706,0.64358232,0.53273668,3.52114775,1.03850509,0.76947619,-0.56967915,6.5727,6.9677,267.046,384.384,18.64015465,9.54470498,6.453392089,2493.01516,-1338.305804,4.2682,4.3443,4.6643,4.8906,5.0911,5.2596,5.5224,5.6218,5.8375,5.9127,6.1645,6.2929,6.4195,6.491,6.6059,6.6322,6.6427,6.7189,6.8542,6.8867,6.9759,7.0462,7.1176,7.1758,7.1809,7.306,7.3596,7.376,7.4201,7.4592,0.234290802,0.230186681,0.214394443,0.204473889,0.196421206,0.190128527,0.18108069,0.177878971,0.17130621,0.169127471,0.162219158,0.158909247,0.155775372,0.154059467,0.151379827,0.15077953,0.150541196,0.148833886,0.145895947,0.145207429,0.143350679,0.141920468,0.140496797,0.139357284,0.13925831,0.136873802,0.13587695,0.135574837,0.134769073,0.134062634
394,394,5.030784143,394,kampo_0452,5322058,"3,5,6-Trihydroxy-7,4'-dimethoxyflavone",COC1=CC=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)O)O)O,20.46458829,29.52671935,90.92725038,56.92728301,73.78071645,7.18782701,0.30817681,0.28962299,-0.11179775,0.24720758,0.24047258,2.92019826,0.46765096,0.4792453,-0.45794044,5.3157,4.4698,216.517,330.292,16.13914847,9.639623106,4.178742532,1988.162959,-1182.338184,4.0586,4.266,4.4648,5.0084,5.2092,5.4282,5.5321,5.8777,6.0488,6.0737,6.245,6.4964,6.5271,6.6294,6.7494,6.8278,6.9718,7.0587,7.1788,7.1896,7.2767,7.2963,7.4384,7.4714,7.6269,7.6399,7.7083,7.7143,7.7361,7.8033,0.246390381,0.234411627,0.223974198,0.199664564,0.191968057,0.184223131,0.180763182,0.170134576,0.165322047,0.164644286,0.160128102,0.153931408,0.153207397,0.150843214,0.148161318,0.14646006,0.143434981,0.141669146,0.139299047,0.139089796,0.137424932,0.137055768,0.134437513,0.133843724,0.13111487,0.130891766,0.129730291,0.12962939,0.129264099,0.128150911
464,464,5.029575472,464,kampo_0528,5319664,4'-O-Methylglabridin,CC1(C=CC2=C(O1)C=CC3=C2OCC(C3)C4=C(C=C(C=C4)OC)O)C,14.85874622,8.304353638,90.18927164,39.19192702,72.55417889,7.51475465,0.31664107,0.36103473,-0.98865182,0.28853918,0.29710194,3.50896484,1.91327534,0.81299501,-0.35873757,2.0013,1.9399,238.057,338.403,13.57605459,9.920858323,7.461427575,2198.594852,-1113.928127,4.5749,4.8676,5.3356,5.9005,6.0334,6.1489,6.2353,6.4662,6.5497,6.6058,6.6461,6.814,6.9038,6.9434,6.9903,7.0202,7.1569,7.1784,7.3981,7.5065,7.5572,7.5745,7.7036,7.8009,7.8384,7.8891,7.9823,7.9861,8.087,8.1033,0.218584013,0.205440053,0.187420346,0.169477163,0.165744025,0.162630714,0.160377207,0.154650336,0.152678749,0.151382119,0.150464182,0.146756677,0.144847765,0.144021661,0.143055377,0.142446084,0.1397253,0.139306809,0.135169841,0.133217878,0.132324141,0.132021916,0.12980944,0.128190337,0.127577057,0.126757171,0.125277176,0.125217566,0.123655249,0.123406513
2631,2631,5.029164535,2631,kampo_2982,5282349,gamma-Tocotrienol,CC1=C(C=C2CCC(OC2=C1C)(C)CCC=C(C)CCC=C(C)CCC=C(C)C)O,5.221839848,2.990270653,86.40094195,24.17288118,54.81343528,7.11218995,0.37148021,0.36359746,-1.91408949,0.35965214,0.24147912,4.12878054,0.87623066,0.47449752,-0.2637818,2.7566,2.7668,348.475,410.642,19.16804234,10.27835825,6.619659929,2906.994522,-1242.176682,4.9212,6.021,6.6114,6.7897,6.8367,6.9254,7.0185,7.0793,7.2823,7.396,7.4453,7.4672,7.4738,7.6077,7.6118,7.6806,7.7043,7.7289,7.8289,7.9237,7.9266,7.9388,7.9789,8.0327,8.0359,8.178,8.2205,8.2256,8.2406,8.2829,0.203202471,0.166085368,0.151253895,0.147281912,0.146269399,0.144395992,0.142480587,0.141256904,0.137319254,0.135208221,0.134312922,0.133919006,0.133800744,0.131445772,0.13137497,0.130198162,0.129797645,0.129384518,0.127731865,0.126203667,0.126157495,0.125963622,0.125330559,0.124491142,0.124441568,0.122279286,0.121647102,0.121571679,0.121350387,0.120730662
369,369,5.029124901,369,kampo_0424,11637048,"2E,4E,6E-Allofarnesene",CC=C(C)C=CC=C(C)CCC=C(C)C,5.720034911,43.0804043,83.20218996,9.259098962,48.28199635,7.066590386,0.276428385,0.266549132,-0.958269487,0.306485384,0.353886592,2.961530246,0.908569085,0.85281644,-0.106487173,0.576,0.6541,191.695,204.357,15.98398404,6.774086391,6.625797865,913.6264442,-585.7280608,4.7962,6.2233,6.5134,6.5975,6.974,7.064,7.4025,7.5502,7.579,7.728,7.7435,7.9781,8.0283,8.1444,8.2435,8.3213,8.3979,8.424,8.6354,8.6794,8.6806,8.7158,8.7776,8.9257,8.9848,9.0182,9.1106,9.1621,9.2933,9.3096,0.208498395,0.160686453,0.153529647,0.151572565,0.143389733,0.141562854,0.135089497,0.132446823,0.131943528,0.129399586,0.12914057,0.125343127,0.124559371,0.122783753,0.121307697,0.120173531,0.119077388,0.118708452,0.115802395,0.115215337,0.11519941,0.114734161,0.113926358,0.112036031,0.111299083,0.110886873,0.109762255,0.109145283,0.107604403,0.107416001
1694,1694,5.028590601,1694,kampo_1933,7405,L-Pyroglutamic acid,C1CC(=O)NC1C(=O)O,1.203682603,0.029915443,80.21374752,48.92885749,57.77217523,9.551775452,0.353800197,0.322846351,-2.345110837,1.546205374,1.078358025,5.636240198,2.094437173,1.229765661,-0.378951841,4.6661,4.1187,89.628,129.115,8.212150299,6.043535312,5.281183046,456.2223253,-475.0189575,5.5435,5.7123,7.0858,7.7494,7.8364,8.8073,8.8813,9.2525,9.3987,9.4948,9.6504,9.7393,9.7639,9.8367,9.9401,9.9645,9.9888,10.0154,10.133,10.161,10.3713,10.4584,10.6498,10.8023,10.9778,11.0403,11.1169,11.1234,11.1976,11.3346,0.180391449,0.175060834,0.141127325,0.129042248,0.127609617,0.113542175,0.112596129,0.108078898,0.106397693,0.105320807,0.103622648,0.102676784,0.102418091,0.10166011,0.10060261,0.100356265,0.100112126,0.099846237,0.098687457,0.09841551,0.096419928,0.09561692,0.093898477,0.092572878,0.091092933,0.090577249,0.089953134,0.08990057,0.089304851,0.088225434
