,index,pIC50,index,number,cid,name,smiles,rex,rUV,rorb,rIR,rfreq,IPv,C-S0,S0-C,EAv,A-S0,S0-A,STv,T1-S0,S0-T1,Esolv,mu,T_mu,Vmol,MW,B1,B2,B3,nuclear_repulsion_energy,E0,dE1,dE2,dE3,dE4,dE5,dE6,dE7,dE8,dE9,dE10,dE11,dE12,dE13,dE14,dE15,dE16,dE17,dE18,dE19,dE20,dE21,dE22,dE23,dE24,dE25,dE26,dE27,dE28,dE29,dE30,1/dE1,1/dE2,1/dE3,1/dE4,1/dE5,1/dE6,1/dE7,1/dE8,1/dE9,1/dE10,1/dE11,1/dE12,1/dE13,1/dE14,1/dE15,1/dE16,1/dE17,1/dE18,1/dE19,1/dE20,1/dE21,1/dE22,1/dE23,1/dE24,1/dE25,1/dE26,1/dE27,1/dE28,1/dE29,1/dE30
2404,2404,5.894600722,2404,kampo_2732,442543,Theasinensin A,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3C4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,58.98861493,50.72373458,92.03143381,52.09012795,79.88263607,7.34008561,0.41500802,0.41113698,-0.17781272,0.87622875,0.71827624,3.75454765,0.49217869,0.52265501,-1.182937,5.0002,7.4121,529.339,914.734,15.54459262,13.68465877,11.44223891,11412.1767,-3350.930272,4.6705,4.838,4.8707,4.9167,4.9656,5.0618,5.1149,5.1281,5.1907,5.2442,5.2558,5.3017,5.3298,5.3315,5.4819,5.5242,5.5688,5.5801,5.5901,5.7585,5.7985,5.8551,5.8616,5.8839,5.9843,6.0081,6.0293,6.0613,6.0744,6.0908,0.214109838,0.206696982,0.205309298,0.203388452,0.201385532,0.197558181,0.195507244,0.195003998,0.192652243,0.190686854,0.190265992,0.188618745,0.187624301,0.187564475,0.182418505,0.181021686,0.179571901,0.179208258,0.178887676,0.173656334,0.172458394,0.170791276,0.170601883,0.169955302,0.167103922,0.16644197,0.165856733,0.16498111,0.164625313,0.164182045
1034,1034,5.84706546,1034,kampo_1190,72284,Chebulinic acid,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C3C(C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C6=C5C(C(C(=O)O3)CC(=O)O)C(C(=O)O6)O)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O,55.7898829,33.5329183,92.08280805,47.98522646,79.02135564,7.88505664,0.69143232,0.36887639,0.04372045,0.53651139,0.53353287,3.58774477,0.43247639,0.45430125,-1.44418845,5.283,5.2895,580.091,956.68,20.39942239,13.80607584,10.01211559,11689.38613,-3611.437158,4.8526,4.9043,4.9315,4.9576,4.9888,5.0193,5.0296,5.1534,5.1726,5.23,5.2414,5.267,5.3194,5.3921,5.592,5.7832,5.8922,5.901,5.9375,5.9432,6.0127,6.0207,6.0866,6.1655,6.182,6.2949,6.3292,6.3359,6.3713,6.4407,0.206075094,0.203902698,0.202778059,0.201710505,0.200449006,0.199230968,0.198822968,0.194046649,0.193326374,0.191204589,0.190788721,0.189861401,0.187991127,0.185456501,0.178826896,0.172914649,0.169715896,0.169462803,0.168421053,0.168259523,0.166314634,0.166093644,0.164295337,0.162192847,0.161759948,0.158858759,0.157997851,0.157830774,0.15695384,0.155262627
1793,1793,5.832529179,1793,kampo_2035,14430290,Lyciumin A,CC(C)C1C(=O)NCC(=O)NC(C(=O)NC(CC2=CN(C(C(=O)N1)NC(=O)C(CC3=CC=C(C=C3)O)NC(=O)C4CCCN4C(=O)C5CCC(=O)N5)C6=CC=CC=C26)C(=O)O)CO,32.981624,7.628477033,92.95135892,47.0985224,77.15729499,7.9470003,0.12918476,0.85263709,-0.4798336,0.39716277,0.74718576,3.92286537,0.80314572,0.73581999,-1.56938762,10.1421,13.5342,574.887,873.921,21.25013658,12.05853994,10.38491928,10020.739,-3025.655368,4.9681,5.0771,5.156,5.2569,5.3461,5.3883,5.4151,5.4494,5.5217,5.5744,5.7447,5.8351,6.0824,6.099,6.1409,6.2435,6.3219,6.5126,6.5443,6.5885,6.6759,6.7012,6.7209,6.81,6.8289,6.8516,6.9078,6.9463,6.9895,7.0071,0.201284193,0.196962833,0.193948798,0.190226179,0.187052244,0.185587291,0.184668797,0.183506441,0.181103646,0.179391504,0.174073494,0.171376669,0.164408786,0.163961305,0.16284258,0.160166573,0.158180294,0.153548506,0.152804731,0.151779616,0.149792537,0.149227004,0.148789597,0.146842878,0.146436469,0.145951311,0.14476389,0.143961533,0.14307175,0.142712392
2388,2388,5.829824969,2388,kampo_2715,11968391,Tenuifoliside C,COC1=CC(=CC(=C1O)OC)C=CC(=O)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)OC(=O)C=CC4=CC(=C(C(=C4)OC)OC)OC)CO)O)O)O,21.59911752,21.55531074,90.78412485,46.77240444,71.90374857,7.55348434,0.36593488,0.29557839,0.55428126,0.4722488,0.48413702,2.97818599,0.52638699,0.5350156,-1.00657761,5.1033,6.0017,518.976,768.718,26.20932378,14.5385745,9.030688292,7534.812584,-2788.315702,4.1531,4.2277,4.5499,4.6576,4.9161,4.9755,5.2087,5.7457,5.8177,5.8788,6.0011,6.0126,6.0751,6.0995,6.1117,6.2197,6.4155,6.4256,6.4425,6.4679,6.5404,6.6989,6.7288,6.8546,6.8558,6.875,6.9027,6.9931,7.0055,7.0248,0.240783993,0.236535232,0.21978505,0.214702851,0.203413275,0.200984826,0.191986484,0.174043198,0.171889235,0.170102742,0.166636117,0.1663174,0.164606344,0.163947865,0.163620597,0.160779459,0.155872496,0.15562749,0.155219247,0.154609688,0.152895847,0.14927824,0.148614909,0.145887433,0.145861898,0.145454545,0.144870848,0.142998098,0.142744986,0.142352807
927,927,5.829091089,927,kampo_1077,134737870,CID 134737870,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C2C=C3C(CC(CC3(O2)C)O)(C)C)C)C,25.28458521,10.62709222,87.76039584,23.04347182,64.30408688,6.10691438,0.29886276,0.27317204,0.67217101,0.31445875,0.29866875,2.13277695,1.20607288,0.89275617,-0.52222453,2.2335,2.9188,512.955,584.885,29.1045386,9.582749396,9.018087402,4456.941543,-1782.784534,3.0808,4.0497,4.1019,4.7467,4.8846,5.2769,5.3621,5.5037,5.6239,5.9048,5.9587,6.039,6.129,6.147,6.2426,6.3645,6.4468,6.6115,6.6643,6.6785,6.7027,6.7792,6.8207,6.8542,6.8887,6.9566,6.9943,7.0314,7.0483,7.1151,0.324591015,0.246931871,0.243789463,0.210672678,0.204725054,0.189505202,0.186494097,0.18169595,0.17781255,0.169353746,0.16782184,0.16559033,0.163158753,0.162680983,0.160189665,0.157121534,0.155115716,0.151251607,0.150053269,0.149734222,0.149193609,0.147510031,0.146612518,0.145895947,0.145165271,0.143748383,0.142973564,0.142219188,0.141878183,0.140546162
2583,2583,5.810354745,2583,kampo_2929,471122,"beta-D-Glucopyranose, cyclic 4-7:6-5-((2S,6S)-3,6-dihydro-2,9,10,11,11-pentahydroxy-3-oxo-2,6-methano-2H-1-benzoxocin-5,7-dicarboxylate) 1,2,3-tris(3,4,5-trihydroxybenzoate)",C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C7=C6C8C(=CC(=O)C(C8(O)O)(O7)O)C(=O)O1)O)O,74.9214398,54.89658454,91.88850844,43.88262202,75.69051899,7.81963595,0.42429867,0.40932473,1.07260102,0.6354778,0.64627676,3.36638138,0.61681595,0.49291719,-1.27275806,8.5169,8.6304,525.168,954.664,20.46486557,11.5633829,10.88095054,11677.66102,-3610.256435,3.5344,3.8919,4.1796,4.6292,4.6477,4.6984,4.7069,4.7767,4.812,4.8365,4.9768,5.0797,5.0839,5.1003,5.1214,5.1576,5.1764,5.2264,5.2868,5.3268,5.363,5.401,5.4248,5.4443,5.5574,5.5819,5.6289,5.6944,5.7497,5.8052,0.282933454,0.256943909,0.239257345,0.216020047,0.215160187,0.212838413,0.212454057,0.209349551,0.207813799,0.206761088,0.200932326,0.196862019,0.196699384,0.196066898,0.195259109,0.19388863,0.193184453,0.191336293,0.189150337,0.187729969,0.186462801,0.185150898,0.184338593,0.183678342,0.17994026,0.179150468,0.177654604,0.175611127,0.173922118,0.172259354
1033,1033,5.79164129,1033,kampo_1189,442674,Chebulagic acid,C1C2C3C(C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C6=C5C(C(C(=O)O3)CC(=O)O)C(C(=O)O6)O)O)O)OC(=O)C7=CC(=C(C(=C7C8=C(C(=C(C=C8C(=O)O1)O)O)O)O)O)O,60.79962193,28.9060472,92.56344799,51.91190651,75.47541504,7.77333834,0.44721224,0.46854648,0.12759401,0.72329912,0.70005032,3.88006302,0.57527673,0.55647229,-1.49424199,11.261,14.6666,542.595,954.664,18.65319287,15.29913355,9.16538512,12001.68635,-3610.235312,4.6384,4.7141,4.8628,4.9459,4.9852,4.9939,5.0137,5.0637,5.1956,5.2858,5.2974,5.3065,5.378,5.4102,5.417,5.4724,5.4937,5.5269,5.5897,5.6133,5.7306,5.7706,5.7893,5.9216,5.9805,5.9872,6.0546,6.1043,6.1722,6.199,0.215591583,0.212129569,0.20564284,0.202187671,0.200593758,0.200244298,0.199453497,0.197484053,0.192470552,0.189186121,0.18877185,0.18844813,0.18594273,0.18483605,0.184604024,0.18273518,0.182026685,0.180933254,0.178900478,0.178148326,0.174501797,0.173292205,0.172732455,0.168873277,0.167210099,0.167022982,0.165163677,0.163818947,0.162016785,0.161316341
2525,2525,5.773546176,2525,kampo_2862,467308,"[(2R,3R)-6-[(2R,3R,4S)-5,7-Dihydroxy-3-(3,4,5-trihydroxybenzoyl)oxy-2-(3,4,5-trihydroxyphenyl)chroman-4-yl]-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl] 3,4,5-trihydroxybenzoate",C1C(C(OC2=C1C(=C(C(=C2)O)C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O)O)C7=CC(=C(C(=C7)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,53.578415,30.07192205,91.92670016,47.93988309,79.02750285,7.3682041,0.4725718,0.42023199,-0.31088104,0.67124312,0.9461817,3.87263033,0.66759385,0.65464414,-1.42525939,5.7125,5.7875,535.139,914.734,19.17009376,16.41627247,10.42217332,10146.0347,-3350.901098,4.7868,4.9861,5.0098,5.0987,5.1773,5.1815,5.2281,5.2434,5.2744,5.3336,5.339,5.3464,5.4329,5.4962,5.5251,5.5603,5.7021,5.7573,5.8801,5.9084,5.9536,5.9996,6.0057,6.0731,6.1576,6.1876,6.2626,6.3022,6.3351,6.346,0.20890783,0.20055755,0.199608767,0.196128425,0.19315087,0.192994307,0.191274077,0.190715948,0.189595025,0.187490625,0.187300993,0.187041748,0.18406376,0.181943889,0.180992199,0.179846411,0.175373985,0.173692529,0.170065135,0.169250559,0.167965601,0.166677779,0.166508484,0.164660552,0.162400935,0.16161355,0.159678089,0.158674749,0.157850705,0.157579578
2405,2405,5.76868939,2405,kampo_2733,467316,Theasinensin F,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3C4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,45.17367458,42.29208404,91.70123427,47.12554519,79.61843909,7.45645128,0.42537867,0.44425549,-0.53372607,0.76072704,1.03386398,3.7303802,0.5621915,0.64509417,-1.29435679,5.4017,4.4065,544.181,898.735,19.6528606,14.34466052,9.911564295,10699.37646,-3275.737709,4.8168,4.8867,5.0535,5.109,5.1584,5.1878,5.2466,5.2589,5.3188,5.3542,5.367,5.4453,5.4607,5.6581,5.6671,5.728,5.7829,5.7848,5.8117,5.817,5.8743,5.8844,5.9352,5.9599,5.9859,6.0137,6.0353,6.1161,6.1227,6.1255,0.20760671,0.204637076,0.197882656,0.19573302,0.193858561,0.192759937,0.190599626,0.190153834,0.188012334,0.186769265,0.186323831,0.183644611,0.183126705,0.176737774,0.176457094,0.174581006,0.17292362,0.172866823,0.172066693,0.171909919,0.170233049,0.169940861,0.168486319,0.16778805,0.167059256,0.166286978,0.165691846,0.163502886,0.163326637,0.163251979
1859,1859,5.754616395,1859,kampo_2107,525358,Methyl ethyl trisulfide,CCSSSC,12.65752919,0.85826771,65.08832208,28.58530722,42.80646535,8.87753405,0.80942711,0.5699167,-0.92859741,1.60293334,1.31069455,4.03585198,2.13209069,1.93379787,-0.11012727,1.4223,3.842,97.954,140.277,9.589934114,5.41130448,5.229124891,453.7135355,-1313.545308,4.3355,4.5714,5.0348,5.086,5.7029,6.3239,6.5575,6.7329,7.5928,7.6938,7.8649,7.948,7.9806,8.102,8.1943,8.3284,8.8147,8.9077,8.9747,9.2277,9.4627,9.5161,9.6642,9.8225,9.8715,9.9053,10.0134,10.0574,10.1607,10.165,0.230653904,0.218751367,0.198617621,0.196618168,0.175349384,0.158130268,0.152497141,0.14852441,0.131703719,0.129974785,0.127147198,0.125817816,0.125303862,0.123426314,0.122036049,0.120071082,0.113446856,0.112262425,0.111424337,0.108369366,0.105678083,0.105085066,0.10347468,0.101807076,0.101301727,0.100956054,0.099866179,0.099429276,0.098418416,0.098376783
