comp_name,ChEMBL ID,Smiles,IC50(nM),IC50(M),pIC50,rUV,rex,rorb,rIR,rfreq,IPv,C-S0,S0-C,EAv,A-S0,S0-A,STv,T1-S0,S0-T1,Esolv,mu,T_mu,Vmol,B1,B2,B3,ca_B1,ca_B2,ca_B3,an_B1,an_B2,an_B3,tri_B1,tri_B2,tri_B3,MW,nuclear_repulsion_energy,E0,dE1,dE2,dE3,dE4,dE5,dE6,dE7,dE8,dE9,dE10,dE11,dE12,dE13,dE14,dE15,dE16,dE17,dE18,dE19,dE20,dE21,dE22,dE23,dE24,dE25,dE26,dE27,dE28,dE29,dE30,1/dE1,1/dE2,1/dE3,1/dE4,1/dE5,1/dE6,1/dE7,1/dE8,1/dE9,1/dE10,1/dE11,1/dE12,1/dE13,1/dE14,1/dE15,1/dE16,1/dE17,1/dE18,1/dE19,1/dE20,1/dE21,1/dE22,1/dE23,1/dE24,1/dE25,1/dE26,1/dE27,1/dE28,1/dE29,1/dE30
comp_029,CHEMBL4516073,O=C(COc1ccc2ccc(=O)oc2c1)N/N=C1\C(=O)N(Cc2ccccc2F)c2ccc(Cl)cc21,2500,2.50E-06,5.602059991,29.98856528,38.99521449,95.26808896,57.71609521,87.66484069,7.94587132,0.34883848,0.33231624,0.87792073,0.56502961,0.46591681,2.68956081,1.54742997,0.92431957,-0.57105358,6.4889,6.9804,302.368,19.66093719,12.13364691,6.817591018,19.79618946,12.34011799,6.705940547,19.28457999,11.45844295,7.11756392,19.14880531,11.71245777,7.412200745,505.8864032,3624.349049,-2100.765459,3.3585,3.5549,4.5491,4.6234,4.8706,4.875,5.092,5.1294,5.2601,5.3807,5.5599,5.5972,5.6338,5.681,5.8427,5.8505,6.0276,6.0928,6.1687,6.2049,6.27,6.4169,6.4538,6.464,6.5174,6.5551,6.6248,6.7457,6.7553,6.7962,0.297751973,0.281301865,0.219823701,0.216291041,0.205313514,0.205128205,0.196386489,0.194954576,0.190110454,0.185849425,0.17985935,0.178660759,0.177500089,0.176025348,0.171153747,0.170925562,0.165903511,0.164128151,0.16210871,0.161162952,0.159489633,0.155838489,0.154947473,0.15470297,0.153435419,0.152552974,0.150947953,0.148242584,0.148031916,0.147141049
comp_030,CHEMBL4438176,Cc1ccc(-c2csc(N/N=C3\C(=O)Nc4ccc(F)cc43)n2)cc1,5300,5.30E-06,5.27572413,37.24488658,36.34293379,91.98878915,22.82989074,79.28465342,7.28558089,0.25091616,0.21651357,0.75967098,0.35962574,0.33998593,2.46834355,0.50084294,0.48550247,-0.41692313,1.8822,1.9161,215.749,16.91199824,10.44133321,3.937127439,17.08993881,10.29058328,3.97902276,17.222776,10.28041088,3.921392655,17.18182247,10.27282075,3.954257772,352.3874032,2060.93387,-1485.55135,3.5075,3.9308,3.9944,4.6994,4.9205,4.9825,5.2075,5.2434,5.3662,5.6021,5.7385,5.8032,5.8493,5.9508,6.1101,6.2841,6.3862,6.509,6.5489,6.5825,6.685,6.7237,6.8242,6.8868,6.9892,6.9993,7.047,7.0554,7.105,7.2456,0.28510335,0.25440114,0.250350491,0.212793123,0.203231379,0.200702459,0.192030725,0.190715948,0.186351608,0.178504489,0.174261567,0.172318721,0.170960628,0.168044633,0.163663442,0.159131777,0.156587642,0.153633431,0.1526974,0.151917964,0.149588631,0.148727635,0.146537323,0.14520532,0.143077892,0.14287143,0.141904356,0.141735408,0.140745954,0.138014795
comp_031,CHEMBL4458477,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(C)C)C(=O)O,23070,2.31E-05,4.636952405,1.252981808,15.5718335,89.60883744,30.01236639,64.90525064,8.0897571,0.61412832,0.45201443,-1.48267623,1.91757631,1.29835789,6.32923424,2.19350319,1.82034161,-1.06845814,3.5642,3.053,530.789,22.95444097,11.19580403,10.93153333,19.65859349,12.17577594,11.89940488,16.86031335,16.31798136,10.69336063,22.34034895,11.40399216,11.0592246,701.885,6926.120659,-2668.282476,5.2928,5.3871,5.4065,5.4891,5.5147,5.7339,5.7459,6.5603,6.565,6.7727,6.8775,6.9287,6.9678,7.0832,7.0921,7.2015,7.2271,7.2325,7.3488,7.4052,7.4572,7.4694,7.5098,7.5428,7.5705,7.6028,7.6131,7.6595,7.6851,7.6932,0.188935913,0.185628631,0.184962545,0.182179228,0.181333527,0.174401367,0.17403714,0.152432053,0.152322925,0.147651601,0.145401672,0.144327219,0.143517323,0.141179128,0.14100196,0.13885996,0.138368087,0.138264777,0.136076638,0.135040242,0.134098589,0.133879562,0.133159338,0.132576762,0.132091672,0.131530489,0.131352537,0.130556825,0.130121924,0.129984922
comp_032,CHEMBL4547082,CC(C)(C)c1ccc(Cn2cc(CSc3nc4ccccc4s3)nn2)cc1,20000,2.00E-05,4.698970004,12.29581202,13.63926189,90.44788166,51.01161693,75.060617,8.00023835,0.37686146,0.3979538,-0.87767801,0.5468347,1.02425687,4.07666467,1.5422275,0.91982867,-0.42334247,4.0534,3.3961,281.448,18.94595786,8.480042187,7.613339439,20.7685688,7.936713865,6.864578676,17.28952433,9.75729342,8.163475704,18.64788323,9.059993358,8.098494512,394.555,2554.139712,-1828.376214,5.0394,5.1946,5.2386,5.5259,5.5385,5.6934,5.9468,5.99,6.0715,6.2208,6.2865,6.5428,6.6831,6.7054,6.775,6.9245,6.9434,6.9995,7.0133,7.0378,7.0788,7.0967,7.1573,7.1744,7.2012,7.2255,7.2758,7.3002,7.3295,7.3557,0.198436322,0.192507604,0.190890696,0.180965996,0.180554302,0.175641971,0.168157665,0.166944908,0.164703945,0.160751029,0.159071025,0.152839763,0.149631159,0.149133534,0.147601476,0.144414759,0.144021661,0.142867348,0.142586229,0.142089858,0.141266881,0.140910564,0.139717491,0.139384478,0.138865745,0.138398727,0.137441931,0.136982548,0.136434955,0.135948992
comp_033,CHEMBL4539474,Cc1ccc(-c2cc(-c3ccc(Br)cc3)nc(SCc3ccc(Cl)cc3)n2)cc1,19000,1.90E-05,4.721246399,50.43824992,31.74379045,90.84889637,26.34337863,82.44424361,8.10658601,0.12787863,0.1113436,0.55914441,0.21411111,0.24412348,3.80137152,0.55128479,0.531636,-0.32297606,4.0932,3.9013,310.466,17.08771589,15.76568551,6.612907298,17.31897456,15.52252767,6.573165961,17.0111329,15.83010241,6.548653937,17.20976109,15.59147609,6.569909966,481.836,3030.360031,-4464.622193,4.2969,4.3889,4.9554,5.0499,5.1144,5.1473,5.1917,5.2297,5.4271,5.5516,5.5713,5.615,5.8701,5.9878,5.9895,6.0736,6.1137,6.1209,6.2451,6.2762,6.4204,6.4768,6.5368,6.5469,6.562,6.6418,6.6628,6.7019,6.7061,6.8006,0.232725919,0.227847524,0.201800057,0.198023723,0.195526357,0.194276611,0.192615136,0.191215557,0.184260471,0.180128251,0.179491322,0.17809439,0.170354849,0.167006246,0.166958845,0.164646997,0.163567071,0.163374667,0.160125538,0.15933208,0.155753536,0.154397233,0.152980051,0.152744047,0.152392563,0.150561595,0.15008705,0.149211418,0.149117967,0.147045849
comp_034,CHEMBL4469981,O=c1ccc2ccc(OCC(O)CSc3nnc(-c4ccccc4)c(-c4ccccc4)n3)cc2o1,32000,3.20E-05,4.494850022,40.15597095,42.48493051,94.62502665,65.23421202,84.01673427,8.07858698,0.39071975,0.21961508,0.66819494,0.21074021,0.75654144,2.79096179,0.47071519,0.2690844,-0.6013484,6.5887,6.4005,335.784,21.97413503,10.04494548,6.800822132,21.29794783,9.919195655,7.345562499,21.94727389,9.623938174,7.304338226,22.17797006,9.964189058,6.788466991,483.542,3463.233642,-1904.212107,3.158,4.1128,4.1849,4.5306,4.6739,4.8903,4.9715,5.0449,5.0494,5.2504,5.3335,5.3796,5.5458,5.6177,5.6408,5.7702,5.8703,5.8952,5.928,6.0005,6.0092,6.137,6.1468,6.1954,6.402,6.4436,6.4677,6.5353,6.6384,6.6924,0.316656111,0.243143357,0.238954336,0.220721317,0.213954085,0.204486432,0.201146535,0.198219985,0.198043332,0.190461679,0.187494141,0.185887427,0.180316636,0.178008794,0.177279818,0.173304218,0.170349045,0.169629529,0.168690958,0.166652779,0.166411502,0.162946065,0.162686276,0.161410078,0.156201187,0.155192749,0.154614469,0.153015164,0.150638708,0.149423226
comp_035,CHEMBL4555448,O=C(NNC(=S)Nc1ccc(Br)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400,4.00E-07,6.397940009,28.95936698,38.47850368,92.03522993,56.58698086,86.20093635,8.05761873,0.38162828,0.30892294,0.74620752,0.39120873,0.37408975,3.67446459,0.72965262,0.68682359,-0.6103917,5.0881,7.1416,323.225,25.59713928,7.362702429,6.238762564,26.08763025,7.623288344,4.206201787,25.92762752,7.519422156,5.302699675,25.68342916,7.344766558,5.755304394,528.809,3359.866661,-4701.182019,4.1409,4.3668,4.7619,4.8013,4.978,5.0545,5.0787,5.157,5.3069,5.3934,5.4494,5.4921,5.5341,5.8008,5.9388,5.9621,6.1639,6.2081,6.2275,6.2724,6.3102,6.3193,6.3507,6.3876,6.4516,6.4761,6.5023,6.5415,6.5757,6.5846,0.241493395,0.229000641,0.21000021,0.208276925,0.200883889,0.197843506,0.196900782,0.193911189,0.188433926,0.1854118,0.183506441,0.182079714,0.180697855,0.172390015,0.168384185,0.167726137,0.162234949,0.16107988,0.160578081,0.159428608,0.158473582,0.158245375,0.157462957,0.156553322,0.15500031,0.154413922,0.153791735,0.152870137,0.152075064,0.151869514
comp_037,CHEMBL4554853,O=C(NNC(=S)Nc1ccccc1Cl)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,700,7.00E-07,6.15490196,31.61660865,34.05745509,92.47983607,50.57756059,85.03055419,8.111198,0.63676896,0.36981191,0.65770456,0.43659668,0.38753906,3.69888674,0.74344832,0.70006283,-0.54352748,5.1884,5.851,311.24,22.52309335,8.16185599,6.651408091,22.38154189,8.677572922,5.485906788,22.26220893,9.165726968,4.515377406,22.69262284,8.178216407,6.405019808,484.355,3231.277551,-2589.576639,4.0055,4.5001,4.6858,4.7111,4.8817,4.9039,5.0575,5.068,5.1797,5.4771,5.4843,5.6525,5.7729,5.9268,5.9611,5.9778,6.0629,6.1021,6.174,6.2194,6.2366,6.3043,6.3531,6.4019,6.4179,6.4279,6.5056,6.5331,6.5357,6.5683,0.249656722,0.222217284,0.21341073,0.212264652,0.204846672,0.20391933,0.197726149,0.197316496,0.193061374,0.182578372,0.182338676,0.17691287,0.173223163,0.168725113,0.167754274,0.167285623,0.164937571,0.163878009,0.16196955,0.160787214,0.160343777,0.158621893,0.157403472,0.156203627,0.155814207,0.155571804,0.153713724,0.153066691,0.153005799,0.152246396
comp_038,CHEMBL4465310,Cc1nccn1-c1ccc(/C=C2/SC(=O)NC2=O)cc1,550,5.50E-07,6.259637311,46.04418919,27.6042224,88.75738265,73.98896154,77.41846907,8.13086258,0.30202658,0.26313009,0.9560827,0.29574139,0.37149763,2.87090417,2.6241404,0.98286512,-0.44345902,1.1927,2.0539,188.4,15.62392174,7.309121018,4.697855723,15.66579885,7.43182425,4.454675892,15.76050765,7.163838644,5.203593951,14.55076862,7.227712111,6.524476567,285.321,1501.621384,-1252.662607,3.8858,4.3684,4.4573,4.8845,5.037,5.2074,5.3232,5.72,5.8429,5.9185,6.0079,6.1448,6.2994,6.3881,6.7022,6.7658,6.8624,6.9415,6.9976,7.0318,7.0393,7.0829,7.158,7.2523,7.2999,7.3971,7.4453,7.4805,7.5787,7.6301,0.257347264,0.228916766,0.224351065,0.204729246,0.198530872,0.192034413,0.187856928,0.174825175,0.171147889,0.16896173,0.166447511,0.162739227,0.158745277,0.156541069,0.149204739,0.147802182,0.145721613,0.144061082,0.142906139,0.142211098,0.14205958,0.141185108,0.139703828,0.137887291,0.136988178,0.135188114,0.134312922,0.133680904,0.131948751,0.131059881
comp_039,CHEMBL4449655,CCOC(=O)CN1C(=O)S/C(=C/c2ccc(-n3ccc4c(Br)ccnc43)cc2)C1=O,550,5.50E-07,6.259637311,68.6083069,37.0468605,92.35920329,58.91979268,79.53365611,7.76296687,0.2918611,0.2619339,0.97048847,0.29474274,0.42634085,2.80508947,2.64480987,0.90740494,-0.41484203,2.8659,2.5836,286.055,17.84808652,9.195879386,7.514223965,18.74868487,8.554267789,7.531999985,17.96558426,9.708313685,6.447778893,20.46767145,7.63634984,7.074416481,486.34,3227.808703,-4244.514119,3.7535,4.4309,4.6642,4.8184,4.8208,5.0265,5.0812,5.1279,5.2445,5.3515,5.558,5.6868,5.7089,5.7685,5.9865,6.0151,6.041,6.0662,6.3585,6.4613,6.5751,6.593,6.6157,6.671,6.6984,6.7106,6.7226,6.7805,6.8493,6.8769,0.26641801,0.225687784,0.214399039,0.207537772,0.207434451,0.198945588,0.196803905,0.195011603,0.190675946,0.186863496,0.179920835,0.175845818,0.175165093,0.173355292,0.167042512,0.166248275,0.165535507,0.164847845,0.157269796,0.154767616,0.152088942,0.15167602,0.151155584,0.149902563,0.149289383,0.149017972,0.148751971,0.147481749,0.146000321,0.145414358
