ID,name,cid,pIC50,vina_affinity,smiles
kampo_2862,"[(2R,3R)-6-[(2R,3R,4S)-5,7-Dihydroxy-3-(3,4,5-trihydroxybenzoyl)oxy-2-(3,4,5-trihydroxyphenyl)chroman-4-yl]-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl] 3,4,5-trihydroxybenzoate",467308,5.77,-9.20,C1C(C(OC2=C1C(=C(C(=C2)O)C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O)O)C7=CC(=C(C(=C7)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O
kampo_2733,Theasinensin F,467316,5.77,-9.24,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3C4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O
kampo_2107,Methyl ethyl trisulfide,525358,5.75,-3.04,CCSSSC
kampo_2653,Soystatin,10056408,5.73,-10.30,CC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CCSC)C(=O)NC(CC5=CC=C(C=C5)O)C(=O)O)N
kampo_0619,"5,7,4'-Trihydroxy-6-methoxyflavanone",5322074,5.73,-8.52,COC1=C(C2=C(C=C1O)OC(CC2=O)C3=CC=C(C=C3)O)O
kampo_2928,"beta-D-Glucopyranose, cyclic 4,6-((1S)-4,4',5,5',6,6'-hexahydroxy(1,1'-biphenyl)-2,2'-dicarboxylate) 1,2,3-tris(3,4,5-trihydroxybenzoate)",151590,5.73,-8.39,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6C7=C(C(=C(C=C7C(=O)O1)O)O)O)O)O)O
kampo_2832,Wogonin,5281703,5.72,-8.50,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O
kampo_1105,CID 154728402,154728402,5.71,-10.61,C1C(C(OC2=C1C(=CC(=C2CC3=C(C=C4C(=C3O)CC(C(O4)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)C8=CC(=C(C(=C8)O)O)O)OC(=O)C9=CC(=C(C(=C9)O)O)O
kampo_2609,Shogaol,5281794,5.71,-6.24,CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC
kampo_0524,4'-Hydroxywogonin,5322078,5.70,-8.43,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=C(C=C3)O)O)O
kampo_2522,Rubixanthin,5281252,5.70,-9.26,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C
kampo_2707,Taxifolin,439533,5.69,-8.47,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
kampo_2216,Naringenin,439246,5.69,-8.75,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
kampo_1481,Flavoxanthin,5281238,5.68,-8.61,CC1=CC(CC(C1C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C2C=C3C(CC(CC3(O2)C)O)(C)C)C)C)(C)C)O
kampo_1380,Dihydromyricetin,161557,5.66,-9.12,C1=C(C=C(C(=C1O)O)O)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O
kampo_1287,Crocin,5281233,5.65,-7.84,CC(=CC=CC=C(C)C=CC=C(C)C(=O)OC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O)C=CC=C(C)C(=O)OC3C(C(C(C(O3)COC4C(C(C(C(O4)CO)O)O)O)O)O)O
